Reporting-starts,Reporting-ends,Ad-name,Age,Gender,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 16,45-54,female,200,2,0.10,1.00%,,,0.19
2025-01-01,2026-01-01,INST — 16,45-54,male,34,1,0.07,2.94%,,,0.07
2025-01-01,2026-01-01,INST — 16,45-54,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 13,25-34,female,13321,340,0.08,2.55%,4,,27.7
2025-01-01,2026-01-01,INST — 13,25-34,male,486,14,0.07,2.88%,,,1.01
2025-01-01,2026-01-01,INST — 13,25-34,unknown,9,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 13,35-44,female,3156,81,0.09,2.57%,1,,6.91
2025-01-01,2026-01-01,INST — 13,35-44,male,355,11,0.07,3.10%,,,0.73
2025-01-01,2026-01-01,INST — 13,35-44,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 13,45-54,female,221,7,0.05,3.17%,,,0.35
2025-01-01,2026-01-01,INST — 13,45-54,male,38,3,0.05,7.89%,,,0.15
2025-01-01,2026-01-01,INST — 17,18-24,female,1332,38,0.06,2.85%,,,2.25
2025-01-01,2026-01-01,INST — 17,25-34,female,4745,76,0.08,1.60%,,,6.04
2025-01-01,2026-01-01,INST — 17,35-44,female,1021,17,0.07,1.67%,,,1.24
2025-01-01,2026-01-01,INST — 17,45-54,female,71,3,0.03,4.23%,,,0.09
2025-01-01,2026-01-01,INST — 18,18-24,female,1681,50,0.05,2.97%,,,2.59
2025-01-01,2026-01-01,INST — 18,25-34,female,4381,79,0.07,1.80%,,,5.81
2025-01-01,2026-01-01,INST — 18,35-44,female,813,11,0.07,1.35%,,,0.8
2025-01-01,2026-01-01,INST — 18,45-54,female,45,3,0.02,6.67%,,,0.05
2025-01-01,2026-01-01,FB — 6,18-24,female,38576,402,0.08,1.04%,15,,31.28
2025-01-01,2026-01-01,FB — 6,18-24,male,1552,59,0.03,3.80%,,,2.05
2025-01-01,2026-01-01,FB — 6,18-24,unknown,858,19,0.08,2.21%,,,1.43
2025-01-01,2026-01-01,FB — 6,25-34,female,173576,1936,0.08,1.12%,89,,153.83
2025-01-01,2026-01-01,FB — 6,25-34,male,4910,209,0.03,4.26%,11,,6.41
2025-01-01,2026-01-01,FB — 6,25-34,unknown,3056,57,0.09,1.87%,,,5
2025-01-01,2026-01-01,FB — 6,35-44,female,51724,788,0.08,1.52%,34,,60.78
2025-01-01,2026-01-01,FB — 6,35-44,male,2557,95,0.04,3.72%,,,3.53
2025-01-01,2026-01-01,FB — 6,35-44,unknown,866,35,0.05,4.04%,,,1.63
2025-01-01,2026-01-01,FB — 6,45-54,female,4161,197,0.03,4.73%,12,,4.96
2025-01-01,2026-01-01,FB — 6,45-54,male,2405,74,0.04,3.08%,,,2.99
2025-01-01,2026-01-01,FB — 6,45-54,unknown,31,2,0.01,6.45%,,,0.02
2025-01-01,2026-01-01,FB — 6,55-64,female,4040,167,0.03,4.13%,7,,4.63
2025-01-01,2026-01-01,FB — 6,55-64,male,3106,134,0.03,4.31%,4,,4.45
2025-01-01,2026-01-01,FB — 6,55-64,unknown,17,2,0.04,11.76%,,,0.07
2025-01-01,2026-01-01,FB — 6,65+,female,3929,173,0.03,4.40%,9,,5.28
2025-01-01,2026-01-01,FB — 6,65+,male,2806,153,0.03,5.45%,5,,4.58
2025-01-01,2026-01-01,FB — 6,65+,unknown,14,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 7,18-24,female,18209,148,0.10,0.81%,,,14.32
2025-01-01,2026-01-01,FB — 7,18-24,male,774,29,0.03,3.75%,,,0.95
2025-01-01,2026-01-01,FB — 7,18-24,unknown,362,4,0.08,1.10%,,,0.31
2025-01-01,2026-01-01,FB — 7,25-34,female,76058,635,0.10,0.83%,20,,66.15
2025-01-01,2026-01-01,FB — 7,25-34,male,3553,127,0.04,3.57%,,,4.66
2025-01-01,2026-01-01,FB — 7,25-34,unknown,1192,9,0.12,0.76%,,,1.1
2025-01-01,2026-01-01,FB — 7,35-44,female,15375,185,0.09,1.20%,,,16.69
2025-01-01,2026-01-01,FB — 7,35-44,male,921,37,0.03,4.02%,,,1.12
2025-01-01,2026-01-01,FB — 7,35-44,unknown,244,2,0.18,0.82%,,,0.36
2025-01-01,2026-01-01,FB — 7,45-54,female,775,26,0.04,3.35%,,,0.94
2025-01-01,2026-01-01,FB — 7,45-54,male,505,14,0.05,2.77%,,,0.66
2025-01-01,2026-01-01,FB — 7,45-54,unknown,17,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 7,55-64,female,770,18,0.05,2.34%,,,0.82
2025-01-01,2026-01-01,FB — 7,55-64,male,470,16,0.02,3.40%,,,0.36
2025-01-01,2026-01-01,FB — 7,55-64,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 7,65+,female,770,35,0.02,4.55%,,,0.83
2025-01-01,2026-01-01,FB — 7,65+,male,496,19,0.03,3.83%,,,0.51
2025-01-01,2026-01-01,FB — 7,65+,unknown,9,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 7,Unknown,female,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 19,25-34,female,2725,7,0.35,0.26%,,,2.48
2025-01-01,2026-01-01,INST — 19,35-44,female,869,5,0.14,0.58%,,,0.68
2025-01-01,2026-01-01,INST — 19,45-54,female,82,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,INST — 20,18-24,female,25694,170,0.06,0.66%,1,,9.92
2025-01-01,2026-01-01,INST — 20,18-24,male,772,18,0.03,2.33%,1,,0.47
2025-01-01,2026-01-01,INST — 20,18-24,unknown,10,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 20,25-34,female,12425,111,0.05,0.89%,1,,5.11
2025-01-01,2026-01-01,INST — 20,25-34,male,786,12,0.03,1.53%,,,0.41
2025-01-01,2026-01-01,INST — 20,25-34,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 20,35-44,female,419,2,0.11,0.48%,,,0.22
2025-01-01,2026-01-01,INST — 20,35-44,male,25,1,0.01,4.00%,,,0.01
2025-01-01,2026-01-01,INST — 21,18-24,female,17914,105,0.09,0.59%,1,,9.06
2025-01-01,2026-01-01,INST — 21,18-24,male,189,5,0.02,2.65%,,,0.09
2025-01-01,2026-01-01,INST — 21,18-24,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 21,25-34,female,10788,70,0.09,0.65%,,,6
2025-01-01,2026-01-01,INST — 21,25-34,male,252,3,0.07,1.19%,1,,0.2
2025-01-01,2026-01-01,INST — 21,25-34,unknown,4,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 21,35-44,female,247,0,0.00,0.00%,,,0.17
2025-01-01,2026-01-01,INST — 21,35-44,male,5,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 21,35-44,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 22,18-24,female,17653,303,0.05,1.72%,4,,15.69
2025-01-01,2026-01-01,INST — 22,18-24,male,436,9,0.06,2.06%,,,0.51
2025-01-01,2026-01-01,INST — 22,18-24,unknown,6,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 22,25-34,female,4951,62,0.05,1.25%,,,3.37
2025-01-01,2026-01-01,INST — 22,25-34,male,302,2,0.10,0.66%,,,0.19
2025-01-01,2026-01-01,INST — 22,25-34,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 22,35-44,female,167,1,0.10,0.60%,,,0.1
2025-01-01,2026-01-01,INST — 22,35-44,male,22,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 22,65+,female,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 23,18-24,female,16756,126,0.10,0.75%,1,,12.42
2025-01-01,2026-01-01,INST — 23,25-34,female,2784,36,0.08,1.29%,,,2.7
2025-01-01,2026-01-01,INST — 23,35-44,female,109,3,0.04,2.75%,,,0.11
2025-01-01,2026-01-01,INST — 24,18-24,female,9630,104,0.11,1.08%,1,,11.04
2025-01-01,2026-01-01,INST — 24,25-34,female,4421,74,0.10,1.67%,,,7.73
2025-01-01,2026-01-01,INST — 24,35-44,female,228,2,0.21,0.88%,,,0.41
2025-01-01,2026-01-01,FB — 8,18-24,female,5,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 8,18-24,male,19,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 8,18-24,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 8,25-34,female,9,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 8,25-34,male,35,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 8,35-44,female,4,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 8,35-44,male,27,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 8,45-54,female,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 8,45-54,male,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 8,55-64,female,4,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 8,55-64,male,5,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 8,65+,female,6,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 8,65+,male,17,0,0.00,0.00%,,,0.07
2025-01-01,2026-01-01,FB — 9,18-24,female,45,1,0.19,2.22%,,,0.19
2025-01-01,2026-01-01,FB — 9,18-24,male,136,4,0.17,2.94%,,,0.68
2025-01-01,2026-01-01,FB — 9,18-24,unknown,3,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 9,25-34,female,43,1,0.09,2.33%,,,0.09
2025-01-01,2026-01-01,FB — 9,25-34,male,148,7,0.10,4.73%,,,0.73
2025-01-01,2026-01-01,FB — 9,25-34,unknown,8,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 9,35-44,female,49,0,0.00,0.00%,,,0.18
2025-01-01,2026-01-01,FB — 9,35-44,male,68,0,0.00,0.00%,,,0.23
2025-01-01,2026-01-01,FB — 9,35-44,unknown,2,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 9,45-54,female,14,1,0.07,7.14%,,,0.07
2025-01-01,2026-01-01,FB — 9,45-54,male,22,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 9,45-54,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 9,55-64,female,15,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,FB — 9,55-64,male,36,1,0.23,2.78%,,,0.23
2025-01-01,2026-01-01,FB — 9,55-64,unknown,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 9,65+,female,54,2,0.28,3.70%,,,0.55
2025-01-01,2026-01-01,FB — 9,65+,male,102,8,0.12,7.84%,,,0.99
2025-01-01,2026-01-01,FB — 9,65+,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 10,18-24,female,1471,50,0.17,3.40%,,,8.47
2025-01-01,2026-01-01,FB — 10,18-24,male,69,0,0.00,0.00%,,,0.33
2025-01-01,2026-01-01,FB — 10,18-24,unknown,4,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 10,25-34,female,800,33,0.15,4.13%,,,5.08
2025-01-01,2026-01-01,FB — 10,25-34,male,112,1,0.38,0.89%,,,0.38
2025-01-01,2026-01-01,FB — 10,25-34,unknown,2,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 10,35-44,female,268,5,0.34,1.87%,,,1.72
2025-01-01,2026-01-01,FB — 10,35-44,male,77,4,0.11,5.19%,,,0.44
2025-01-01,2026-01-01,FB — 10,45-54,female,5,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 10,45-54,male,22,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,FB — 10,55-64,female,7,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 10,55-64,male,27,1,0.16,3.70%,,,0.16
2025-01-01,2026-01-01,FB — 10,65+,female,18,1,0.05,5.56%,,,0.05
2025-01-01,2026-01-01,FB — 10,65+,male,29,3,0.05,10.34%,,,0.16
2025-01-01,2026-01-01,FB — 11,18-24,female,7807,356,0.11,4.56%,3,,40
2025-01-01,2026-01-01,FB — 11,18-24,male,190,15,0.08,7.89%,,,1.24
2025-01-01,2026-01-01,FB — 11,18-24,unknown,6,1,0.04,16.67%,,,0.04
