Reporting-starts,Reporting-ends,Ad-name,Age,Gender,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 14,18-24,female,95,5,0.13,5.26%,,,0.63
2025-01-01,2026-01-01,FB — 14,18-24,male,133,7,0.11,5.26%,,,0.75
2025-01-01,2026-01-01,FB — 14,18-24,unknown,5,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 14,25-34,female,77,4,0.10,5.19%,,,0.4
2025-01-01,2026-01-01,FB — 14,25-34,male,138,7,0.12,5.07%,,,0.82
2025-01-01,2026-01-01,FB — 14,25-34,unknown,3,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 14,35-44,female,34,0,0.00,0.00%,,,0.15
2025-01-01,2026-01-01,FB — 14,35-44,male,74,5,0.12,6.76%,,,0.59
2025-01-01,2026-01-01,FB — 14,45-54,female,11,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 14,45-54,male,31,1,0.25,3.23%,,,0.25
2025-01-01,2026-01-01,FB — 14,55-64,female,26,1,0.16,3.85%,,,0.16
2025-01-01,2026-01-01,FB — 14,55-64,male,45,2,0.16,4.44%,,,0.32
2025-01-01,2026-01-01,FB — 14,65+,female,27,3,0.09,11.11%,,,0.26
2025-01-01,2026-01-01,FB — 14,65+,male,89,8,0.11,8.99%,,,0.9
2025-01-01,2026-01-01,FB — 14,65+,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 15,18-24,female,11,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 15,18-24,male,28,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,FB — 15,25-34,female,12,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 15,25-34,male,39,1,0.09,2.56%,,,0.09
2025-01-01,2026-01-01,FB — 15,35-44,female,14,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 15,35-44,male,34,1,0.06,2.94%,,,0.06
2025-01-01,2026-01-01,FB — 15,45-54,female,4,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 15,45-54,male,12,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 15,45-54,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 15,55-64,female,5,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 15,55-64,male,21,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 15,55-64,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 15,65+,female,22,1,0.16,4.55%,,,0.16
2025-01-01,2026-01-01,FB — 15,65+,male,27,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,FB — 14,18-24,female,57,0,0.00,0.00%,,,0.31
2025-01-01,2026-01-01,FB — 14,18-24,male,11,1,0.07,9.09%,,,0.07
2025-01-01,2026-01-01,FB — 14,25-34,female,50,2,0.06,4.00%,,,0.12
2025-01-01,2026-01-01,FB — 14,25-34,male,14,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 14,25-34,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 14,35-44,female,34,2,0.04,5.88%,,,0.07
2025-01-01,2026-01-01,FB — 14,35-44,male,8,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 14,45-54,female,11,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 14,45-54,male,10,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 14,55-64,female,9,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 14,55-64,male,14,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 14,65+,female,19,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 14,65+,male,17,0,0.00,0.00%,,,0.14
2025-01-01,2026-01-01,FB — 14,65+,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 16,18-24,female,37,1,0.20,2.70%,,,0.2
2025-01-01,2026-01-01,FB — 16,18-24,male,69,0,0.00,0.00%,,,0.65
2025-01-01,2026-01-01,FB — 16,18-24,unknown,4,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 16,25-34,female,56,0,0.00,0.00%,,,0.31
2025-01-01,2026-01-01,FB — 16,25-34,male,78,1,0.80,1.28%,,,0.8
2025-01-01,2026-01-01,FB — 16,25-34,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 16,35-44,female,26,0,0.00,0.00%,,,0.28
2025-01-01,2026-01-01,FB — 16,35-44,male,43,1,0.65,2.33%,,,0.65
2025-01-01,2026-01-01,FB — 16,45-54,female,12,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 16,45-54,male,37,0,0.00,0.00%,,,0.46
2025-01-01,2026-01-01,FB — 16,45-54,unknown,2,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 16,55-64,female,28,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,FB — 16,55-64,male,39,0,0.00,0.00%,,,0.46
2025-01-01,2026-01-01,FB — 16,55-64,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 16,65+,female,65,0,0.00,0.00%,,,0.62
2025-01-01,2026-01-01,FB — 16,65+,male,85,1,0.76,1.18%,,,0.76
2025-01-01,2026-01-01,FB — 16,65+,unknown,2,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 17,18-24,female,162,7,0.11,4.32%,,,0.76
2025-01-01,2026-01-01,FB — 17,25-34,female,52,2,0.14,3.85%,,,0.28
2025-01-01,2026-01-01,FB — 17,35-44,female,15,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 18,18-24,female,126,2,0.26,1.59%,,,0.52
2025-01-01,2026-01-01,FB — 18,25-34,female,37,0,0.00,0.00%,,,0.16
2025-01-01,2026-01-01,FB — 18,35-44,female,4,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 19,18-24,female,877,41,0.09,4.68%,,,3.77
2025-01-01,2026-01-01,FB — 19,25-34,female,234,16,0.08,6.84%,,,1.24
2025-01-01,2026-01-01,FB — 19,35-44,female,19,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 20,18-24,female,508,22,0.11,4.33%,,,2.37
2025-01-01,2026-01-01,FB — 20,25-34,female,204,9,0.14,4.41%,,,1.3
2025-01-01,2026-01-01,FB — 20,35-44,female,16,1,0.08,6.25%,,,0.08
2025-01-01,2026-01-01,FB — 21,18-24,female,347,10,0.14,2.88%,,,1.44
2025-01-01,2026-01-01,FB — 21,25-34,female,101,4,0.12,3.96%,,,0.46
2025-01-01,2026-01-01,FB — 21,35-44,female,16,2,0.03,12.50%,,,0.06
2025-01-01,2026-01-01,FB — 22,18-24,female,3594,161,0.10,4.48%,2,,16.77
2025-01-01,2026-01-01,FB — 22,25-34,female,1019,49,0.11,4.81%,,,5.18
2025-01-01,2026-01-01,FB — 22,35-44,female,135,2,0.32,1.48%,,,0.63
2025-01-01,2026-01-01,INST — 25,18-24,female,4325,108,0.07,2.50%,1,,7.45
2025-01-01,2026-01-01,INST — 25,25-34,female,1337,27,0.12,2.02%,,,3.37
2025-01-01,2026-01-01,INST — 25,35-44,female,74,1,0.10,1.35%,,,0.1
2025-01-01,2026-01-01,FB — 23,18-24,female,8,0,0.00,0.00%,,,0.1
2025-01-01,2026-01-01,FB — 23,18-24,male,32,0,0.00,0.00%,,,0.44
2025-01-01,2026-01-01,FB — 23,18-24,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,FB — 23,25-34,female,19,1,0.22,5.26%,,,0.22
2025-01-01,2026-01-01,FB — 23,25-34,male,45,0,0.00,0.00%,,,0.9
2025-01-01,2026-01-01,FB — 23,25-34,unknown,1,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 23,35-44,female,8,0,0.00,0.00%,,,0.8
2025-01-01,2026-01-01,FB — 23,35-44,male,52,2,0.52,3.85%,,,1.04
2025-01-01,2026-01-01,FB — 23,45-54,female,15,0,0.00,0.00%,,,0.31
2025-01-01,2026-01-01,FB — 23,45-54,male,52,1,2.33,1.92%,,,2.33
2025-01-01,2026-01-01,FB — 23,45-54,unknown,1,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 23,55-64,female,24,1,0.97,4.17%,,,0.97
2025-01-01,2026-01-01,FB — 23,55-64,male,60,5,0.34,8.33%,,,1.7
2025-01-01,2026-01-01,FB — 23,55-64,unknown,1,0,0.00,0.00%,,,0.1
2025-01-01,2026-01-01,FB — 23,65+,female,96,12,0.41,12.50%,,,4.94
2025-01-01,2026-01-01,FB — 23,65+,male,73,9,0.23,12.33%,,,2.07
2025-01-01,2026-01-01,FB — 23,65+,unknown,1,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 26,18-24,female,969,7,0.26,0.72%,,,1.85
2025-01-01,2026-01-01,INST — 26,25-34,female,822,3,0.64,0.36%,,,1.92
2025-01-01,2026-01-01,INST — 26,35-44,female,46,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,INST — 27,18-24,female,4584,65,0.08,1.42%,,,5.34
2025-01-01,2026-01-01,INST — 27,25-34,female,2361,27,0.12,1.14%,,,3.14
2025-01-01,2026-01-01,INST — 27,35-44,female,141,2,0.10,1.42%,,,0.2
2025-01-01,2026-01-01,INST — 28,18-24,female,434,9,0.02,2.07%,,,0.16
2025-01-01,2026-01-01,INST — 28,25-34,female,204,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,INST — 28,35-44,female,17,0,0.00,0.00%,,,0
,,,,,,,,,1996,,
