Reporting-starts,Reporting-ends,Ad-name,Platform,Placement,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 11,Facebook,Facebook Stories,1,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 11,Facebook,Feed,28,4,0.07,14.29%,,,0.26
2025-01-01,2026-01-01,FB — 11,Facebook,Feed,367,16,0.19,4.36%,,,3.06
2025-01-01,2026-01-01,FB — 11,Facebook,Feed,36,2,0.14,5.56%,,,0.27
2025-01-01,2026-01-01,FB — 11,Facebook,In-stream reels,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 11,Facebook,In-stream reels,161,1,0.67,0.62%,,,0.67
2025-01-01,2026-01-01,FB — 11,Facebook,Search results,103,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,FB — 11,Facebook,Feed: video feeds,18,4,0.05,22.22%,,,0.21
2025-01-01,2026-01-01,FB — 11,Instagram,Feed,2,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 11,Instagram,Feed,63,3,0.23,4.76%,,,0.70
2025-01-01,2026-01-01,FB — 11,Instagram,Feed,7,1,0.09,14.29%,,,0.09
2025-01-01,2026-01-01,FB — 11,Instagram,Instagram Reels,10178,477,0.11,4.69%,3,,54.54
2025-01-01,2026-01-01,FB — 11,Instagram,Instagram Stories,330,19,0.17,5.76%,,,3.29
2025-01-01,2026-01-01,FB — 11,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 11,Messenger,Messenger Stories,5,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 11,Threads,Threads feed,11,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 12,Facebook,Facebook Reels,101,0,0.00,0.00%,,,0.77
2025-01-01,2026-01-01,FB — 12,Facebook,Ads on Facebook Reels,207,4,0.09,1.93%,,,0.36
2025-01-01,2026-01-01,FB — 12,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 12,Facebook,Feed,13,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,FB — 12,Facebook,Feed,1,1,0.03,100.00%,,,0.03
2025-01-01,2026-01-01,FB — 12,Facebook,In-stream reels,10,0,0.00,0.00%,,,0.07
2025-01-01,2026-01-01,FB — 12,Facebook,Search results,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 12,Instagram,Feed,2,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 12,Instagram,Feed,10,2,0.04,20.00%,,,0.07
2025-01-01,2026-01-01,FB — 12,Instagram,Explore,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 12,Instagram,Instagram Reels,218,6,0.20,2.75%,,,1.20
2025-01-01,2026-01-01,FB — 12,Instagram,Instagram Stories,34,3,0.12,8.82%,,,0.35
2025-01-01,2026-01-01,FB — 12,Messenger,Messenger Stories,6,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 12,Threads,Threads feed,1,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 13,Facebook,Facebook Reels,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 13,Facebook,Ads on Facebook Reels,9,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 13,Facebook,Feed,29,1,0.10,3.45%,,,0.10
2025-01-01,2026-01-01,FB — 13,Facebook,Search results,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 13,Instagram,Feed,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 13,Instagram,Instagram Reels,45,0,0.00,0.00%,,,0.19
2025-01-01,2026-01-01,FB — 14,Facebook,Facebook Reels,69,5,0.16,7.25%,,,0.79
2025-01-01,2026-01-01,FB — 14,Facebook,Ads on Facebook Reels,105,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 14,Facebook,Feed,2,1,0.02,50.00%,,,0.02
2025-01-01,2026-01-01,FB — 14,Facebook,Feed,16,3,0.04,18.75%,,,0.12
2025-01-01,2026-01-01,FB — 14,Facebook,Feed,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Facebook,In-stream reels,6,1,0.02,16.67%,,,0.02
2025-01-01,2026-01-01,FB — 14,Facebook,Search results,12,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Instagram,Feed,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 14,Instagram,Feed,8,1,0.06,12.50%,,,0.06
2025-01-01,2026-01-01,FB — 14,Instagram,Instagram Reels,488,27,0.12,5.53%,,,3.14
2025-01-01,2026-01-01,FB — 14,Instagram,Instagram Stories,76,5,0.21,6.58%,,,1.06
2025-01-01,2026-01-01,FB — 14,Messenger,Messenger Stories,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Threads,Threads feed,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 15,Facebook,Facebook Reels,24,0,0.00,0.00%,,,0.10
2025-01-01,2026-01-01,FB — 15,Facebook,Ads on Facebook Reels,75,1,0.03,1.33%,,,0.03
2025-01-01,2026-01-01,FB — 15,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 15,Facebook,Feed,50,2,0.15,4.00%,,,0.29
2025-01-01,2026-01-01,FB — 15,Facebook,Feed,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 15,Instagram,Feed,10,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,FB — 15,Instagram,Instagram Reels,65,0,0.00,0.00%,,,0.22
2025-01-01,2026-01-01,FB — 15,Messenger,Messenger Stories,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 14,Facebook,Facebook Reels,16,0,0.00,0.00%,,,0.14
2025-01-01,2026-01-01,FB — 14,Facebook,Ads on Facebook Reels,105,2,0.06,1.90%,,,0.11
2025-01-01,2026-01-01,FB — 14,Facebook,Feed,4,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 14,Facebook,In-stream reels,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Facebook,In-stream reels,4,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Facebook,Search results,8,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Facebook,Feed: video feeds,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 14,Instagram,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 14,Instagram,Instagram Reels,104,3,0.18,2.88%,,,0.54
2025-01-01,2026-01-01,FB — 14,Instagram,Instagram Stories,9,0,0.00,0.00%,,,0.07
2025-01-01,2026-01-01,FB — 14,Messenger,Messenger Stories,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 16,Facebook,Facebook Reels,78,1,1.00,1.28%,,,1.00
2025-01-01,2026-01-01,FB — 16,Facebook,Feed,177,1,1.37,0.56%,,,1.37
2025-01-01,2026-01-01,FB — 16,Instagram,Feed,75,0,0.00,0.00%,,,1.10
2025-01-01,2026-01-01,FB — 16,Instagram,Instagram Reels,178,1,0.85,0.56%,,,0.85
2025-01-01,2026-01-01,FB — 16,Instagram,Instagram Stories,77,1,1.12,1.30%,,,1.12
2025-01-01,2026-01-01,FB — 17,Facebook,Facebook Reels,8,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 17,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 17,Instagram,Instagram Reels,215,9,0.12,4.19%,,,1.10
2025-01-01,2026-01-01,FB — 17,Instagram,Instagram Stories,2,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 17,Messenger,Messenger Stories,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 18,Facebook,Facebook Reels,3,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 18,Facebook,Search results,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 18,Instagram,Instagram Reels,162,2,0.34,1.23%,,,0.67
2025-01-01,2026-01-01,FB — 18,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 19,Facebook,Ads on Facebook Reels,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 19,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 19,Facebook,Search results,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 19,Instagram,Instagram Reels,1123,57,0.09,5.08%,,,5.04
2025-01-01,2026-01-01,FB — 19,Instagram,Instagram Stories,3,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 20,Facebook,Facebook Reels,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 20,Facebook,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 20,Facebook,In-stream reels,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 20,Instagram,Instagram Reels,725,32,0.12,4.41%,,,3.74
2025-01-01,2026-01-01,FB — 21,Facebook,Feed,3,1,0.01,33.33%,,,0.01
2025-01-01,2026-01-01,FB — 21,Instagram,Instagram Reels,459,15,0.13,3.27%,,,1.95
2025-01-01,2026-01-01,FB — 21,Instagram,Instagram Stories,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 22,Facebook,Facebook Reels,4,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 22,Facebook,Ads on Facebook Reels,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 22,Facebook,Feed,3,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 22,Facebook,In-stream reels,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 22,Facebook,Search results,10,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 22,Instagram,Instagram Reels,4593,210,0.11,4.57%,2,,22.31
2025-01-01,2026-01-01,FB — 22,Instagram,Instagram Stories,34,1,0.23,2.94%,,,0.23
2025-01-01,2026-01-01,FB — 22,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 22,Messenger,Messenger Stories,100,1,0.00,1.00%,,,0.00
2025-01-01,2026-01-01,INST — 25,Instagram,Feed,5736,136,0.08,2.37%,1,,10.92
2025-01-01,2026-01-01,FB — 23,Facebook,Facebook profile feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 23,Facebook,Facebook Reels,89,9,0.45,10.11%,,,4.03
2025-01-01,2026-01-01,FB — 23,Facebook,Ads on Facebook Reels,7,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 23,Facebook,Facebook Stories,2,0,0.00,0.00%,,,0.23
2025-01-01,2026-01-01,FB — 23,Facebook,Feed,28,2,0.44,7.14%,,,0.87
2025-01-01,2026-01-01,FB — 23,Facebook,Feed,212,16,0.52,7.55%,,,8.26
2025-01-01,2026-01-01,FB — 23,Facebook,Feed,5,1,0.25,20.00%,,,0.25
2025-01-01,2026-01-01,FB — 23,Facebook,In-stream reels,15,1,0.09,6.67%,,,0.09
2025-01-01,2026-01-01,FB — 23,Instagram,Instagram Reels,78,2,0.91,2.56%,,,1.81
2025-01-01,2026-01-01,FB — 23,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 23,Instagram,Instagram Stories,29,0,0.00,0.00%,,,0.41
2025-01-01,2026-01-01,FB — 23,Messenger,Messenger inbox,22,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 26,Instagram,Feed,1837,10,0.38,0.54%,,,3.82
2025-01-01,2026-01-01,INST — 27,Instagram,Feed,7086,94,0.09,1.33%,,,8.68
2025-01-01,2026-01-01,INST — 28,Instagram,Feed,655,9,0.03,1.37%,,,0.24
,,,,,,,,,1996,,
