Reporting-starts,Reporting-ends,Ad-name,Platform,Placement,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 4,Facebook,Feed: video feeds,12,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 4,Facebook,Feed: video feeds,22712,773,0.02,3.40%,58,,16.69
2025-01-01,2026-01-01,FB — 4,Instagram,Feed,6593,70,0.11,1.06%,,,7.43
2025-01-01,2026-01-01,FB — 4,Instagram,Feed,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 4,Instagram,Explore,116,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 4,Instagram,Explore home,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 4,Instagram,Instagram Reels,23695,184,0.07,0.78%,5,,12.18
2025-01-01,2026-01-01,FB — 4,Instagram,Instagram search results,22,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 4,Instagram,Instagram Stories,113374,578,0.16,0.51%,14,,90.19
2025-01-01,2026-01-01,FB — 4,Messenger,Messenger inbox,164570,253,0.02,0.15%,9,,5.45
2025-01-01,2026-01-01,FB — 4,Messenger,Messenger Stories,3156,6,0.03,0.19%,,,0.17
2025-01-01,2026-01-01,FB — 5,Audience Network,"Native, banner & interstitial",47,1,0.17,2.13%,,,0.17
2025-01-01,2026-01-01,FB — 5,Audience Network,Rewarded video,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 5,Facebook,Business Explore,68,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 5,Facebook,Facebook Notifications,31,7,0.17,22.58%,,,1.18
2025-01-01,2026-01-01,FB — 5,Facebook,Facebook profile feed,5,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 5,Facebook,Facebook Reels,1317,11,0.18,0.84%,1,,2.02
2025-01-01,2026-01-01,FB — 5,Facebook,Ads on Facebook Reels,2374,11,0.11,0.46%,,,1.24
2025-01-01,2026-01-01,FB — 5,Facebook,Facebook Stories,163,9,0.08,5.52%,,,0.71
2025-01-01,2026-01-01,FB — 5,Facebook,Feed,69,2,0.23,2.90%,,,0.47
2025-01-01,2026-01-01,FB — 5,Facebook,Feed,7351,117,0.14,1.59%,13,,15.92
2025-01-01,2026-01-01,FB — 5,Facebook,Feed,71,2,0.07,2.82%,,,0.14
2025-01-01,2026-01-01,FB — 5,Facebook,In-stream reels,26,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 5,Facebook,In-stream reels,8507,68,0.08,0.80%,7,,5.14
2025-01-01,2026-01-01,FB — 5,Facebook,Marketplace,4,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 5,Facebook,Marketplace,453,0,0.00,0.00%,,,1.15
2025-01-01,2026-01-01,FB — 5,Facebook,Right column,1636,0,0.00,0.00%,,,0.95
2025-01-01,2026-01-01,FB — 5,Facebook,Search results,69,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 5,Facebook,Feed: video feeds,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 5,Facebook,Feed: video feeds,801,10,0.10,1.25%,1,,0.96
2025-01-01,2026-01-01,FB — 5,Instagram,Feed,135,0,0.00,0.00%,,,0.70
2025-01-01,2026-01-01,FB — 5,Instagram,Explore,140,0,0.00,0.00%,,,0.17
2025-01-01,2026-01-01,FB — 5,Instagram,Instagram Reels,220,0,0.00,0.00%,,,0.80
2025-01-01,2026-01-01,FB — 5,Instagram,Instagram Stories,345,0,0.00,0.00%,,,1.70
2025-01-01,2026-01-01,FB — 5,Messenger,Messenger inbox,153,0,0.00,0.00%,,,0.28
2025-01-01,2026-01-01,FB — 5,Messenger,Messenger Stories,12,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,28,6,0.03,21.43%,,,0.15
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,5757,332,0.03,5.77%,24,,11.60
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,19,3,0.03,15.79%,,,0.08
2025-01-01,2026-01-01,INST — 2,Instagram,Explore,2191,32,0.04,1.46%,,,1.15
2025-01-01,2026-01-01,INST — 2,Instagram,Instagram Reels,2923,245,0.03,8.38%,15,,6.66
2025-01-01,2026-01-01,INST — 2,Instagram,Instagram Stories,537,10,0.04,1.86%,,,0.35
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,445,13,0.07,2.92%,,,0.95
2025-01-01,2026-01-01,INST — 2,Instagram,Feed,3,1,0.03,33.33%,,,0.03
2025-01-01,2026-01-01,INST — 2,Instagram,Explore,183,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,INST — 2,Instagram,Instagram Reels,5098,67,0.06,1.31%,1,,4.20
2025-01-01,2026-01-01,INST — 2,Instagram,Instagram Stories,982,12,0.05,1.22%,,,0.58
2025-01-01,2026-01-01,INST — 3,Facebook,Facebook Stories,9,1,0.11,11.11%,,,0.11
2025-01-01,2026-01-01,INST — 3,Facebook,Feed,2,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 3,Facebook,Feed,394,7,0.42,1.78%,1,,2.95
2025-01-01,2026-01-01,INST — 3,Facebook,Feed,5,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 3,Facebook,Feed: video feeds,10,0,0.00,0.00%,,,0.14
2025-01-01,2026-01-01,INST — 3,Instagram,Instagram Stories,15,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,INST — 4,Facebook,Facebook Stories,28,0,0.00,0.00%,,,0.52
2025-01-01,2026-01-01,INST — 4,Instagram,Instagram Stories,211,1,1.47,0.47%,1,,1.47
2025-01-01,2026-01-01,INST — 5,Facebook,Facebook Stories,90,6,0.24,6.67%,,,1.44
2025-01-01,2026-01-01,INST — 5,Facebook,Feed,18,0,0.00,0.00%,,,0.19
2025-01-01,2026-01-01,INST — 5,Facebook,Feed,1476,40,0.23,2.71%,1,,9.32
2025-01-01,2026-01-01,INST — 5,Facebook,Feed,58,5,0.11,8.62%,,,0.56
2025-01-01,2026-01-01,INST — 5,Facebook,Feed: video feeds,377,32,0.07,8.49%,1,,2.37
2025-01-01,2026-01-01,INST — 6,Facebook,Facebook Stories,4171,672,0.01,16.11%,13,,7.06
2025-01-01,2026-01-01,INST — 6,Facebook,Feed,3872,258,0.02,6.66%,,,5.82
2025-01-01,2026-01-01,INST — 6,Facebook,Feed,32,2,0.03,6.25%,,,0.06
2025-01-01,2026-01-01,INST — 6,Facebook,Feed: video feeds,1002,54,0.02,5.39%,1,,1.22
2025-01-01,2026-01-01,INST — 6,Instagram,Instagram Stories,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 6,Instagram,Instagram Stories,49658,592,0.06,1.19%,12,,37.71
2025-01-01,2026-01-01,INST — 6,Instagram,Instagram Stories,33,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,INST — 7,Facebook,Facebook Reels,32,1,0.01,3.13%,,,0.01
2025-01-01,2026-01-01,INST — 7,Facebook,Facebook Stories,18,1,0.03,5.56%,,,0.03
2025-01-01,2026-01-01,INST — 7,Facebook,Feed,1960,103,0.03,5.26%,,,2.85
2025-01-01,2026-01-01,INST — 7,Facebook,Search results,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 7,Facebook,Feed: video feeds,777,41,0.03,5.28%,,,1.11
2025-01-01,2026-01-01,INST — 7,Instagram,Instagram Reels,1910,182,0.02,9.53%,8,,3.55
2025-01-01,2026-01-01,INST — 7,Instagram,Instagram Stories,11,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 7,Instagram,Instagram Stories,8371,299,0.03,3.57%,11,,9.87
2025-01-01,2026-01-01,INST — 7,Instagram,Instagram Stories,10,1,0.00,10.00%,1,,0.00
2025-01-01,2026-01-01,INST — 8,Facebook,Facebook Reels,294,21,0.13,7.14%,1,,2.69
2025-01-01,2026-01-01,INST — 8,Facebook,Facebook Reels,4,1,0.03,25.00%,,,0.03
2025-01-01,2026-01-01,INST — 8,Facebook,Facebook Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 8,Facebook,Feed,251,8,0.20,3.19%,,,1.61
2025-01-01,2026-01-01,INST — 8,Facebook,In-stream reels,6,1,0.04,16.67%,,,0.04
2025-01-01,2026-01-01,INST — 8,Facebook,Feed: video feeds,15,2,0.07,13.33%,,,0.13
2025-01-01,2026-01-01,INST — 8,Instagram,Feed,8,1,0.09,12.50%,,,0.09
2025-01-01,2026-01-01,INST — 8,Instagram,Instagram Reels,104,2,0.31,1.92%,,,0.62
2025-01-01,2026-01-01,INST — 8,Instagram,Instagram Stories,16,0,0.00,0.00%,,,0.15
2025-01-01,2026-01-01,INST — 9,Instagram,Instagram Reels,1524,42,0.04,2.76%,1,,1.73
2025-01-01,2026-01-01,INST — 9,Instagram,Instagram Stories,13999,168,0.07,1.20%,1,,12.01
2025-01-01,2026-01-01,INST — 9,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 10,Instagram,Instagram Reels,4500,42,0.08,0.93%,,,3.32
2025-01-01,2026-01-01,INST — 10,Instagram,Instagram Stories,32653,259,0.07,0.79%,2,,16.89
2025-01-01,2026-01-01,INST — 10,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 11,Instagram,Feed,2,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 11,Instagram,Feed,6300,102,0.09,1.62%,1,,8.74
2025-01-01,2026-01-01,INST — 11,Instagram,Feed,9,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 11,Instagram,Explore,97,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 11,Instagram,Explore home,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 12,Instagram,Instagram Stories,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 12,Instagram,Instagram Stories,2022,18,0.09,0.89%,,,1.53
2025-01-01,2026-01-01,INST — 12,Instagram,Instagram Stories,9,1,0.01,11.11%,,,0.01
2025-01-01,2026-01-01,INST — 13,Instagram,Feed,3,1,0.01,33.33%,,,0.01
2025-01-01,2026-01-01,INST — 13,Instagram,Feed,981,15,0.12,1.53%,,,1.80
2025-01-01,2026-01-01,INST — 13,Instagram,Explore,9,0,0.00,0.00%,,,0.00
