Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 2,GB,18,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,INST — 2,US,166,4,0.03,2.41%,,,0.12
2025-01-01,2026-01-01,INST — 2,US,60,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,INST — 20,AU,616,2,0.08,0.32%,,,0.16
2025-01-01,2026-01-01,INST — 20,BR,158,11,0.02,6.96%,1,,0.20
2025-01-01,2026-01-01,INST — 20,CA,174,1,0.02,0.57%,,,0.02
2025-01-01,2026-01-01,INST — 20,ID,21042,165,0.04,0.78%,2,,7.38
2025-01-01,2026-01-01,INST — 20,IE,118,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 20,KE,2797,26,0.06,0.93%,,,1.51
2025-01-01,2026-01-01,INST — 20,MX,38,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 20,PH,13677,98,0.07,0.72%,,,6.49
2025-01-01,2026-01-01,INST — 20,TH,227,3,0.01,1.32%,,,0.02
2025-01-01,2026-01-01,INST — 20,UA,7,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 20,GB,217,1,0.10,0.46%,,,0.10
2025-01-01,2026-01-01,INST — 20,US,1063,7,0.04,0.66%,,,0.26
2025-01-01,2026-01-01,INST — 21,AU,296,3,0.03,1.01%,,,0.08
2025-01-01,2026-01-01,INST — 21,BR,197,7,0.03,3.55%,1,,0.22
2025-01-01,2026-01-01,INST — 21,CA,82,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,INST — 21,ID,15551,119,0.06,0.77%,1,,7.09
2025-01-01,2026-01-01,INST — 21,IE,85,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 21,KE,1236,3,0.29,0.24%,,,0.86
2025-01-01,2026-01-01,INST — 21,MX,44,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,INST — 21,PH,11522,49,0.14,0.43%,,,7.05
2025-01-01,2026-01-01,INST — 21,TH,115,2,0.01,1.74%,,,0.02
2025-01-01,2026-01-01,INST — 21,UA,6,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 21,GB,121,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,INST — 21,US,148,0,0.00,0.00%,,,0.12
2025-01-01,2026-01-01,INST — 22,AU,75,1,0.02,1.33%,,,0.02
2025-01-01,2026-01-01,INST — 22,BR,16,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 22,CA,32,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 22,ID,10816,136,0.05,1.26%,1,,6.83
2025-01-01,2026-01-01,INST — 22,IE,21,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 22,KE,932,23,0.06,2.47%,,,1.28
2025-01-01,2026-01-01,INST — 22,MX,6,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,INST — 22,PH,11292,213,0.05,1.89%,3,,11.56
2025-01-01,2026-01-01,INST — 22,TH,45,1,0.01,2.22%,,,0.01
2025-01-01,2026-01-01,INST — 22,UA,4,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 22,GB,29,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 22,US,275,3,0.05,1.09%,,,0.15
2025-01-01,2026-01-01,INST — 23,KE,6508,43,0.11,0.66%,,,4.82
2025-01-01,2026-01-01,INST — 23,PH,13054,121,0.09,0.93%,1,,10.36
2025-01-01,2026-01-01,INST — 23,US,87,1,0.05,1.15%,,,0.05
2025-01-01,2026-01-01,INST — 24,AR,6151,82,0.09,1.33%,1,,7.68
2025-01-01,2026-01-01,INST — 24,CL,1278,12,0.17,0.94%,,,2.06
2025-01-01,2026-01-01,INST — 24,CO,1558,25,0.12,1.60%,,,2.88
2025-01-01,2026-01-01,INST — 24,DO,3380,27,0.12,0.80%,,,3.37
2025-01-01,2026-01-01,INST — 24,MX,1912,34,0.09,1.78%,,,3.20
2025-01-01,2026-01-01,INST — 25,KE,2337,50,0.08,2.14%,,,3.94
