Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 2,HR,6,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,CY,231,1,0.12,0.43%,,,0.12
2025-01-01,2026-01-01,FB — 2,CZ,232,1,0.19,0.43%,,,0.19
2025-01-01,2026-01-01,FB — 2,DK,64,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,DO,9729,68,0.03,0.70%,7,,1.83
2025-01-01,2026-01-01,FB — 2,FR,890,7,0.12,0.79%,,,0.87
2025-01-01,2026-01-01,FB — 2,DE,1204,4,0.14,0.33%,,,0.57
2025-01-01,2026-01-01,FB — 2,GR,7,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,HU,153,2,0.19,1.31%,,,0.37
2025-01-01,2026-01-01,FB — 2,IE,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,IL,5,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,IT,1661,6,0.34,0.36%,1,,2.01
2025-01-01,2026-01-01,FB — 2,JM,120,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 2,JP,247,1,0.32,0.40%,,,0.32
2025-01-01,2026-01-01,FB — 2,XK,74,3,0.03,4.05%,,,0.10
2025-01-01,2026-01-01,FB — 2,LV,6,1,0.00,16.67%,,,0.00
2025-01-01,2026-01-01,FB — 2,LT,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,LU,39,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 2,MV,418,9,0.02,2.15%,2,,0.17
2025-01-01,2026-01-01,FB — 2,MT,274,2,0.06,0.73%,,,0.12
2025-01-01,2026-01-01,FB — 2,MU,502,10,0.04,1.99%,2,,0.35
2025-01-01,2026-01-01,FB — 2,MX,62438,765,0.05,1.23%,16,,41.68
2025-01-01,2026-01-01,FB — 2,MD,13,2,0.01,15.38%,,,0.02
2025-01-01,2026-01-01,FB — 2,MC,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,ME,16,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,NL,378,4,0.09,1.06%,,,0.37
2025-01-01,2026-01-01,FB — 2,PL,61,1,0.07,1.64%,,,0.07
2025-01-01,2026-01-01,FB — 2,PT,1559,5,0.26,0.32%,,,1.30
2025-01-01,2026-01-01,FB — 2,PR,17,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,RO,13,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 2,SM,5,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 2,RS,45,0,0.00,0.00%,,,0.07
2025-01-01,2026-01-01,FB — 2,SC,1147,11,0.01,0.96%,,,0.14
2025-01-01,2026-01-01,FB — 2,SI,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 2,ES,4720,22,0.13,0.47%,,,2.89
2025-01-01,2026-01-01,FB — 2,SE,84,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 2,CH,299,0,0.00,0.00%,,,0.08
2025-01-01,2026-01-01,FB — 2,UA,2412,34,0.12,1.41%,,,4.12
2025-01-01,2026-01-01,FB — 2,GB,429,2,0.17,0.47%,,,0.34
2025-01-01,2026-01-01,FB — 2,US,797,5,0.11,0.63%,,,0.56
2025-01-01,2026-01-01,FB — 20,AU,134,4,0.15,2.99%,,,0.59
2025-01-01,2026-01-01,FB — 20,CA,214,6,0.13,2.80%,,,0.80
2025-01-01,2026-01-01,FB — 20,GB,262,13,0.12,4.96%,,,1.51
2025-01-01,2026-01-01,FB — 20,US,118,9,0.09,7.63%,,,0.85
2025-01-01,2026-01-01,FB — 21,AU,123,7,0.10,5.69%,,,0.69
2025-01-01,2026-01-01,FB — 21,CA,152,2,0.21,1.32%,,,0.41
2025-01-01,2026-01-01,FB — 21,GB,86,4,0.09,4.65%,,,0.37
2025-01-01,2026-01-01,FB — 21,US,103,3,0.16,2.91%,,,0.49
2025-01-01,2026-01-01,FB — 22,AU,567,23,0.11,4.06%,,,2.52
2025-01-01,2026-01-01,FB — 22,CA,1454,47,0.11,3.23%,,,4.96
2025-01-01,2026-01-01,FB — 22,GB,1517,79,0.09,5.21%,,,7.40
2025-01-01,2026-01-01,FB — 22,US,1210,63,0.12,5.21%,,,7.70
2025-01-01,2026-01-01,FB — 23,CA,112,5,0.62,4.46%,,,3.09
2025-01-01,2026-01-01,FB — 23,DE,29,0,0.00,0.00%,,,0.26
2025-01-01,2026-01-01,FB — 23,GB,165,7,0.46,4.24%,,,3.22
2025-01-01,2026-01-01,FB — 23,US,183,19,0.49,10.38%,,,9.39
2025-01-01,2026-01-01,FB — 3,AL,941,79,0.02,8.40%,,,1.64
2025-01-01,2026-01-01,FB — 3,AR,38700,313,0.08,0.81%,5,,24.86
2025-01-01,2026-01-01,FB — 3,AU,552,1,0.28,0.18%,,,0.28
2025-01-01,2026-01-01,FB — 3,AT,124,1,0.06,0.81%,,,0.06
2025-01-01,2026-01-01,FB — 3,BE,300,0,0.00,0.00%,,,0.16
2025-01-01,2026-01-01,FB — 3,BA,262,9,0.03,3.44%,,,0.31
2025-01-01,2026-01-01,FB — 3,BR,47785,273,0.15,0.57%,4,,40.79
2025-01-01,2026-01-01,FB — 3,BG,71,0,0.00,0.00%,,,0.09
2025-01-01,2026-01-01,FB — 3,CA,323,1,0.16,0.31%,,,0.16
2025-01-01,2026-01-01,FB — 3,CV,190270,857,0.02,0.45%,36,,15.24
2025-01-01,2026-01-01,FB — 3,CL,10803,61,0.14,0.56%,,,8.74
2025-01-01,2026-01-01,FB — 3,CO,156912,1990,0.04,1.27%,62,,69.92
2025-01-01,2026-01-01,FB — 3,HR,15,2,0.03,13.33%,,,0.05
2025-01-01,2026-01-01,FB — 3,CY,238,1,0.25,0.42%,,,0.25
2025-01-01,2026-01-01,FB — 3,CZ,219,1,0.13,0.46%,,,0.13
2025-01-01,2026-01-01,FB — 3,DK,57,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,DO,24360,255,0.03,1.05%,3,,7.03
2025-01-01,2026-01-01,FB — 3,EE,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,FI,15,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 3,FR,763,5,0.08,0.66%,,,0.39
2025-01-01,2026-01-01,FB — 3,DE,1306,6,0.11,0.46%,,,0.67
2025-01-01,2026-01-01,FB — 3,GR,93,4,0.03,4.30%,,,0.10
2025-01-01,2026-01-01,FB — 3,HU,149,1,0.19,0.67%,,,0.19
2025-01-01,2026-01-01,FB — 3,IS,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,IE,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,IT,1602,11,0.16,0.69%,,,1.81
2025-01-01,2026-01-01,FB — 3,JM,157,1,0.15,0.64%,,,0.15
2025-01-01,2026-01-01,FB — 3,JP,231,2,0.19,0.87%,,,0.38
2025-01-01,2026-01-01,FB — 3,XK,329,19,0.03,5.78%,,,0.48
2025-01-01,2026-01-01,FB — 3,LV,7,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 3,LT,19,1,0.01,5.26%,,,0.01
2025-01-01,2026-01-01,FB — 3,LU,52,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 3,MV,1104,35,0.02,3.17%,,,0.81
2025-01-01,2026-01-01,FB — 3,MT,183,1,0.10,0.55%,,,0.10
2025-01-01,2026-01-01,FB — 3,MU,1071,56,0.02,5.23%,,,1.18
2025-01-01,2026-01-01,FB — 3,MX,37989,364,0.08,0.96%,6,,28.21
2025-01-01,2026-01-01,FB — 3,MD,134,8,0.02,5.97%,,,0.18
2025-01-01,2026-01-01,FB — 3,MC,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,ME,73,4,0.01,5.48%,,,0.05
2025-01-01,2026-01-01,FB — 3,NL,398,3,0.08,0.75%,,,0.24
2025-01-01,2026-01-01,FB — 3,NO,10,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,PL,19,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 3,PT,1774,11,0.12,0.62%,,,1.30
2025-01-01,2026-01-01,FB — 3,PR,10,2,0.01,20.00%,,,0.01
2025-01-01,2026-01-01,FB — 3,RO,193,5,0.06,2.59%,,,0.30
2025-01-01,2026-01-01,FB — 3,SM,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,RS,208,8,0.03,3.85%,,,0.27
2025-01-01,2026-01-01,FB — 3,SC,1577,21,0.01,1.33%,1,,0.25
2025-01-01,2026-01-01,FB — 3,SK,8,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,SI,9,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 3,ES,3605,18,0.13,0.50%,,,2.35
2025-01-01,2026-01-01,FB — 3,SE,87,3,0.01,3.45%,,,0.02
2025-01-01,2026-01-01,FB — 3,CH,241,1,0.10,0.41%,,,0.10
2025-01-01,2026-01-01,FB — 3,UA,3722,105,0.06,2.82%,1,,6.52
2025-01-01,2026-01-01,FB — 3,GB,610,4,0.08,0.66%,,,0.33
2025-01-01,2026-01-01,FB — 3,US,1070,7,0.10,0.65%,,,0.72
2025-01-01,2026-01-01,FB — 4,AL,42060,3020,0.02,7.18%,103,,59.97
2025-01-01,2026-01-01,FB — 4,AR,80469,1342,0.05,1.67%,47,,61.63
2025-01-01,2026-01-01,FB — 4,AU,917,5,0.05,0.55%,,,0.26
2025-01-01,2026-01-01,FB — 4,AT,381,1,0.20,0.26%,,,0.20
2025-01-01,2026-01-01,FB — 4,BE,795,4,0.09,0.50%,,,0.35
2025-01-01,2026-01-01,FB — 4,BA,6393,458,0.02,7.16%,14,,10.46
2025-01-01,2026-01-01,FB — 4,BR,82355,1383,0.06,1.68%,52,,85.04
2025-01-01,2026-01-01,FB — 4,BG,3856,226,0.04,5.86%,,,8.79
2025-01-01,2026-01-01,FB — 4,CA,632,1,0.33,0.16%,,,0.33
2025-01-01,2026-01-01,FB — 4,CV,947284,5653,0.02,0.60%,198,,95.35
2025-01-01,2026-01-01,FB — 4,CL,21415,249,0.08,1.16%,2,,21.04
2025-01-01,2026-01-01,FB — 4,CO,433112,5832,0.03,1.35%,211,,193.18
2025-01-01,2026-01-01,FB — 4,HR,2068,64,0.06,3.09%,,,4.06
2025-01-01,2026-01-01,FB — 4,CY,1483,39,0.06,2.63%,,,2.44
2025-01-01,2026-01-01,FB — 4,CZ,578,4,0.13,0.69%,,,0.53
2025-01-01,2026-01-01,FB — 4,DK,181,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 4,DO,51265,1242,0.02,2.42%,16,,29.52
2025-01-01,2026-01-01,FB — 4,EE,65,3,0.03,4.62%,,,0.09
2025-01-01,2026-01-01,FB — 4,FI,49,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 4,FR,1824,7,0.21,0.38%,,,1.49
2025-01-01,2026-01-01,FB — 4,DE,2544,9,0.12,0.35%,,,1.08
2025-01-01,2026-01-01,FB — 4,GR,3227,142,0.05,4.40%,,,7.19
2025-01-01,2026-01-01,FB — 4,HU,1065,38,0.06,3.57%,,,2.17
2025-01-01,2026-01-01,FB — 4,IS,28,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,FB — 4,IE,17,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 4,IL,461,10,0.15,2.17%,,,1.54
2025-01-01,2026-01-01,FB — 4,IT,4756,68,0.10,1.43%,,,7.13
2025-01-01,2026-01-01,FB — 4,JM,2751,116,0.02,4.22%,,,2.82
2025-01-01,2026-01-01,FB — 4,JP,463,1,0.42,0.22%,,,0.42
2025-01-01,2026-01-01,FB — 4,XK,18587,1105,0.02,5.95%,21,,23.57
2025-01-01,2026-01-01,FB — 4,LV,491,12,0.10,2.44%,,,1.22
2025-01-01,2026-01-01,FB — 4,LI,3,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 4,LT,916,54,0.04,5.90%,,,2.14
2025-01-01,2026-01-01,FB — 4,LU,104,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 4,MV,14632,648,0.02,4.43%,34,,14.13
2025-01-01,2026-01-01,FB — 4,MT,815,29,0.02,3.56%,,,0.65
2025-01-01,2026-01-01,FB — 4,MU,11760,549,0.03,4.67%,14,,14.54
2025-01-01,2026-01-01,FB — 4,MX,70044,1004,0.06,1.43%,78,,57.34
2025-01-01,2026-01-01,FB — 4,MD,8248,421,0.04,5.10%,,,17.31
2025-01-01,2026-01-01,FB — 4,MC,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 4,ME,4846,311,0.02,6.42%,,,6.99
2025-01-01,2026-01-01,FB — 4,NL,948,6,0.07,0.63%,,,0.43
2025-01-01,2026-01-01,FB — 4,NO,43,4,0.02,9.30%,,,0.08
2025-01-01,2026-01-01,FB — 4,PL,525,17,0.08,3.24%,,,1.28
2025-01-01,2026-01-01,FB — 4,PT,10033,321,0.06,3.20%,,,18.36
2025-01-01,2026-01-01,FB — 4,PR,1842,21,0.14,1.14%,,,2.84
2025-01-01,2026-01-01,FB — 4,RO,24054,1344,0.04,5.59%,25,,57.08
2025-01-01,2026-01-01,FB — 4,SM,77,1,0.09,1.30%,,,0.09
2025-01-01,2026-01-01,FB — 4,RS,19074,974,0.03,5.11%,23,,33.37
2025-01-01,2026-01-01,FB — 4,SC,15683,191,0.02,1.22%,,,3.12
2025-01-01,2026-01-01,FB — 4,SK,207,10,0.05,4.83%,,,0.51
2025-01-01,2026-01-01,FB — 4,SI,102,2,0.08,1.96%,,,0.15
2025-01-01,2026-01-01,FB — 4,ES,7607,56,0.09,0.74%,,,5.10
2025-01-01,2026-01-01,FB — 4,SE,243,1,0.38,0.41%,,,0.38
2025-01-01,2026-01-01,FB — 4,CH,584,2,0.08,0.34%,,,0.16
2025-01-01,2026-01-01,FB — 4,UA,92519,4719,0.03,5.10%,23,,157.78
2025-01-01,2026-01-01,FB — 4,GB,1005,6,0.09,0.60%,,,0.54
2025-01-01,2026-01-01,FB — 4,US,1608,10,0.10,0.62%,,,0.99
2025-01-01,2026-01-01,FB — 4,unknown,32,0,0.00,0.00%,,,0.03
2025-01-01,2026-01-01,FB — 5,AU,55,0,0.00,0.00%,,,0.15
2025-01-01,2026-01-01,FB — 5,AT,71,0,0.00,0.00%,,,0.21
2025-01-01,2026-01-01,FB — 5,BE,167,0,0.00,0.00%,,,0.56
2025-01-01,2026-01-01,FB — 5,CA,38,0,0.00,0.00%,,,0.04
2025-01-01,2026-01-01,FB — 5,CY,860,9,0.09,1.05%,,,0.81
2025-01-01,2026-01-01,FB — 5,CZ,132,0,0.00,0.00%,,,0.35
2025-01-01,2026-01-01,FB — 5,DK,80,2,0.16,2.50%,,,0.32
2025-01-01,2026-01-01,FB — 5,FR,828,8,0.27,0.97%,1,,2.15
2025-01-01,2026-01-01,FB — 5,DE,345,1,1.51,0.29%,,,1.51
2025-01-01,2026-01-01,FB — 5,GR,2317,28,0.11,1.21%,4,,3.03
2025-01-01,2026-01-01,FB — 5,IE,67,0,0.00,0.00%,,,0.31
2025-01-01,2026-01-01,FB — 5,IT,2841,20,0.23,0.70%,2,,4.61
2025-01-01,2026-01-01,FB — 5,JP,87,0,0.00,0.00%,,,0.21
2025-01-01,2026-01-01,FB — 5,MT,138,2,0.06,1.45%,,,0.13
2025-01-01,2026-01-01,FB — 5,MC,10,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 5,NL,1034,5,0.35,0.48%,,,1.77
2025-01-01,2026-01-01,FB — 5,PT,11825,136,0.09,1.15%,14,,12.62
2025-01-01,2026-01-01,FB — 5,ES,2751,23,0.17,0.84%,1,,3.81
2025-01-01,2026-01-01,FB — 5,SE,160,1,0.60,0.63%,,,0.60
2025-01-01,2026-01-01,FB — 5,CH,77,0,0.00,0.00%,,,0.17
2025-01-01,2026-01-01,FB — 5,GB,44,1,0.15,2.27%,,,0.15
2025-01-01,2026-01-01,FB — 5,US,72,2,0.14,2.78%,,,0.29
2025-01-01,2026-01-01,FB — 6,AR,35592,290,0.08,0.81%,12,,24.62
2025-01-01,2026-01-01,FB — 6,AU,1008,24,0.13,2.38%,,,3.07
2025-01-01,2026-01-01,FB — 6,AT,151,0,0.00,0.00%,,,0.11
2025-01-01,2026-01-01,FB — 6,BE,379,10,0.09,2.64%,,,0.85
2025-01-01,2026-01-01,FB — 6,BR,46450,372,0.12,0.80%,11,,44.89
2025-01-01,2026-01-01,FB — 6,CA,3685,181,0.10,4.91%,8,,17.63
2025-01-01,2026-01-01,FB — 6,CL,13648,130,0.10,0.95%,7,,12.39
2025-01-01,2026-01-01,FB — 6,CO,70475,1959,0.03,2.78%,71,,63.93
2025-01-01,2026-01-01,FB — 6,CY,500,7,0.13,1.40%,,,0.88
2025-01-01,2026-01-01,FB — 6,CZ,329,6,0.13,1.82%,,,0.76
2025-01-01,2026-01-01,FB — 6,DK,69,3,0.11,4.35%,,,0.34
2025-01-01,2026-01-01,FB — 6,FR,1110,25,0.06,2.25%,1,,1.60
2025-01-01,2026-01-01,FB — 6,DE,1087,12,0.08,1.10%,,,1.01
2025-01-01,2026-01-01,FB — 6,HU,432,9,0.10,2.08%,,,0.90
2025-01-01,2026-01-01,FB — 6,IT,2337,29,0.14,1.24%,1,,3.99
2025-01-01,2026-01-01,FB — 6,JP,1060,16,0.14,1.51%,1,,2.30
2025-01-01,2026-01-01,FB — 6,LU,34,1,0.01,2.94%,,,0.01
2025-01-01,2026-01-01,FB — 6,MT,343,6,0.10,1.75%,,,0.60
2025-01-01,2026-01-01,FB — 6,MX,102730,973,0.07,0.95%,51,,70.05
2025-01-01,2026-01-01,FB — 6,MC,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,NL,469,10,0.08,2.13%,,,0.80
2025-01-01,2026-01-01,FB — 6,PT,2663,34,0.09,1.28%,,,3.12
2025-01-01,2026-01-01,FB — 6,SM,4,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 6,ES,4160,49,0.08,1.18%,3,,3.96
2025-01-01,2026-01-01,FB — 6,SE,130,10,0.05,7.69%,,,0.53
2025-01-01,2026-01-01,FB — 6,CH,216,1,0.16,0.46%,,,0.16
2025-01-01,2026-01-01,FB — 6,UA,3567,51,0.10,1.43%,3,,4.99
2025-01-01,2026-01-01,FB — 6,GB,1850,79,0.09,4.27%,4,,7.02
